Mois,Qualité,Territoire,Attribut,Valeur
01/01/2012,Données définitives,France,Production totale,57177
01/01/2012,Données définitives,France,Production nucléaire,42811
01/01/2012,Données définitives,France,Production thermique totale,5399
01/01/2012,Données définitives,France,Production thermique charbon,741
01/01/2012,Données définitives,France,Production thermique fioul,691
01/01/2012,Données définitives,France,Production thermique gaz,3967
01/01/2012,Données définitives,France,Production hydraulique,6741
01/01/2012,Données définitives,France,Production éolien,1587
01/01/2012,Données définitives,France,Production solaire,125
01/01/2012,Données définitives,France,Production bioénergies,514
01/01/2012,Données définitives,France,Consommation totale,51086
01/01/2012,Données définitives,France,Solde exportateur,5371
01/01/2012,Données définitives,France,Echanges export,7043
01/01/2012,Données définitives,France,Echanges import,1672
01/01/2012,Données définitives,France,Echanges avec le Royaume-Uni,929
01/01/2012,Données définitives,France,Echanges avec l'Espagne,724
01/01/2012,Données définitives,France,Echanges avec l'Italie,1581
01/01/2012,Données définitives,France,Echanges avec la Suisse,2195
01/01/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,-59
01/02/2012,Données définitives,France,Production totale,54419
01/02/2012,Données définitives,France,Production nucléaire,38661
01/02/2012,Données définitives,France,Production thermique totale,8721
01/02/2012,Données définitives,France,Production thermique charbon,2511
01/02/2012,Données définitives,France,Production thermique fioul,1309
01/02/2012,Données définitives,France,Production thermique gaz,4901
01/02/2012,Données définitives,France,Production hydraulique,5244
01/02/2012,Données définitives,France,Production éolien,1123
01/02/2012,Données définitives,France,Production solaire,216
01/02/2012,Données définitives,France,Production bioénergies,454
01/02/2012,Données définitives,France,Consommation totale,54476
01/02/2012,Données définitives,France,Solde exportateur,-715
01/02/2012,Données définitives,France,Echanges export,4504
01/02/2012,Données définitives,France,Echanges import,5220
01/02/2012,Données définitives,France,Echanges avec le Royaume-Uni,-798
01/02/2012,Données définitives,France,Echanges avec l'Espagne,-309
01/02/2012,Données définitives,France,Echanges avec l'Italie,1244
01/02/2012,Données définitives,France,Echanges avec la Suisse,1579
01/02/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,-2430
01/03/2012,Données définitives,France,Production totale,48583
01/03/2012,Données définitives,France,Production nucléaire,37549
01/03/2012,Données définitives,France,Production thermique totale,5276
01/03/2012,Données définitives,France,Production thermique charbon,1435
01/03/2012,Données définitives,France,Production thermique fioul,666
01/03/2012,Données définitives,France,Production thermique gaz,3175
01/03/2012,Données définitives,France,Production hydraulique,3894
01/03/2012,Données définitives,France,Production éolien,977
01/03/2012,Données définitives,France,Production solaire,356
01/03/2012,Données définitives,France,Production bioénergies,531
01/03/2012,Données définitives,France,Consommation totale,43156
01/03/2012,Données définitives,France,Solde exportateur,4888
01/03/2012,Données définitives,France,Echanges export,7042
01/03/2012,Données définitives,France,Echanges import,2153
01/03/2012,Données définitives,France,Echanges avec le Royaume-Uni,583
01/03/2012,Données définitives,France,Echanges avec l'Espagne,330
01/03/2012,Données définitives,France,Echanges avec l'Italie,1742
01/03/2012,Données définitives,France,Echanges avec la Suisse,2235
01/03/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,-1
01/04/2012,Données définitives,France,Production totale,44192
01/04/2012,Données définitives,France,Production nucléaire,33100
01/04/2012,Données définitives,France,Production thermique totale,3484
01/04/2012,Données définitives,France,Production thermique charbon,1655
01/04/2012,Données définitives,France,Production thermique fioul,486
01/04/2012,Données définitives,France,Production thermique gaz,1343
01/04/2012,Données définitives,France,Production hydraulique,5302
01/04/2012,Données définitives,France,Production éolien,1572
01/04/2012,Données définitives,France,Production solaire,329
01/04/2012,Données définitives,France,Production bioénergies,405
01/04/2012,Données définitives,France,Consommation totale,40176
01/04/2012,Données définitives,France,Solde exportateur,3447
01/04/2012,Données définitives,France,Echanges export,5762
01/04/2012,Données définitives,France,Echanges import,2314
01/04/2012,Données définitives,France,Echanges avec le Royaume-Uni,547
01/04/2012,Données définitives,France,Echanges avec l'Espagne,-9
01/04/2012,Données définitives,France,Echanges avec l'Italie,1271
01/04/2012,Données définitives,France,Echanges avec la Suisse,1670
01/04/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,-31
01/05/2012,Données définitives,France,Production totale,40433
01/05/2012,Données définitives,France,Production nucléaire,29058
01/05/2012,Données définitives,France,Production thermique totale,1772
01/05/2012,Données définitives,France,Production thermique charbon,854
01/05/2012,Données définitives,France,Production thermique fioul,368
01/05/2012,Données définitives,France,Production thermique gaz,549
01/05/2012,Données définitives,France,Production hydraulique,7706
01/05/2012,Données définitives,France,Production éolien,974
01/05/2012,Données définitives,France,Production solaire,454
01/05/2012,Données définitives,France,Production bioénergies,469
01/05/2012,Données définitives,France,Consommation totale,35257
01/05/2012,Données définitives,France,Solde exportateur,4425
01/05/2012,Données définitives,France,Echanges export,6391
01/05/2012,Données définitives,France,Echanges import,1965
01/05/2012,Données définitives,France,Echanges avec le Royaume-Uni,693
01/05/2012,Données définitives,France,Echanges avec l'Espagne,251
01/05/2012,Données définitives,France,Echanges avec l'Italie,1341
01/05/2012,Données définitives,France,Echanges avec la Suisse,1060
01/05/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,1079
01/06/2012,Données définitives,France,Production totale,37518
01/06/2012,Données définitives,France,Production nucléaire,26562
01/06/2012,Données définitives,France,Production thermique totale,2219
01/06/2012,Données définitives,France,Production thermique charbon,960
01/06/2012,Données définitives,France,Production thermique fioul,384
01/06/2012,Données définitives,France,Production thermique gaz,875
01/06/2012,Données définitives,France,Production hydraulique,6823
01/06/2012,Données définitives,France,Production éolien,994
01/06/2012,Données définitives,France,Production solaire,483
01/06/2012,Données définitives,France,Production bioénergies,437
01/06/2012,Données définitives,France,Consommation totale,33219
01/06/2012,Données définitives,France,Solde exportateur,3648
01/06/2012,Données définitives,France,Echanges export,5674
01/06/2012,Données définitives,France,Echanges import,2026
01/06/2012,Données définitives,France,Echanges avec le Royaume-Uni,447
01/06/2012,Données définitives,France,Echanges avec l'Espagne,482
01/06/2012,Données définitives,France,Echanges avec l'Italie,1207
01/06/2012,Données définitives,France,Echanges avec la Suisse,599
01/06/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,913
01/07/2012,Données définitives,France,Production totale,37910
01/07/2012,Données définitives,France,Production nucléaire,28818
01/07/2012,Données définitives,France,Production thermique totale,2221
01/07/2012,Données définitives,France,Production thermique charbon,1110
01/07/2012,Données définitives,France,Production thermique fioul,437
01/07/2012,Données définitives,France,Production thermique gaz,674
01/07/2012,Données définitives,France,Production hydraulique,4901
01/07/2012,Données définitives,France,Production éolien,912
01/07/2012,Données définitives,France,Production solaire,544
01/07/2012,Données définitives,France,Production bioénergies,513
01/07/2012,Données définitives,France,Consommation totale,34141
01/07/2012,Données définitives,France,Solde exportateur,3216
01/07/2012,Données définitives,France,Echanges export,5327
01/07/2012,Données définitives,France,Echanges import,2110
01/07/2012,Données définitives,France,Echanges avec le Royaume-Uni,822
01/07/2012,Données définitives,France,Echanges avec l'Espagne,494
01/07/2012,Données définitives,France,Echanges avec l'Italie,825
01/07/2012,Données définitives,France,Echanges avec la Suisse,787
01/07/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,287
01/08/2012,Données définitives,France,Production totale,36339
01/08/2012,Données définitives,France,Production nucléaire,28314
01/08/2012,Données définitives,France,Production thermique totale,2533
01/08/2012,Données définitives,France,Production thermique charbon,1165
01/08/2012,Données définitives,France,Production thermique fioul,413
01/08/2012,Données définitives,France,Production thermique gaz,956
01/08/2012,Données définitives,France,Production hydraulique,3563
01/08/2012,Données définitives,France,Production éolien,907
01/08/2012,Données définitives,France,Production solaire,536
01/08/2012,Données définitives,France,Production bioénergies,486
01/08/2012,Données définitives,France,Consommation totale,32247
01/08/2012,Données définitives,France,Solde exportateur,3561
01/08/2012,Données définitives,France,Echanges export,5834
01/08/2012,Données définitives,France,Echanges import,2273
01/08/2012,Données définitives,France,Echanges avec le Royaume-Uni,948
01/08/2012,Données définitives,France,Echanges avec l'Espagne,334
01/08/2012,Données définitives,France,Echanges avec l'Italie,610
01/08/2012,Données définitives,France,Echanges avec la Suisse,792
01/08/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,877
01/09/2012,Données définitives,France,Production totale,38035
01/09/2012,Données définitives,France,Production nucléaire,30130
01/09/2012,Données définitives,France,Production thermique totale,2450
01/09/2012,Données définitives,France,Production thermique charbon,1382
01/09/2012,Données définitives,France,Production thermique fioul,396
01/09/2012,Données définitives,France,Production thermique gaz,671
01/09/2012,Données définitives,France,Production hydraulique,3641
01/09/2012,Données définitives,France,Production éolien,931
01/09/2012,Données définitives,France,Production solaire,413
01/09/2012,Données définitives,France,Production bioénergies,470
01/09/2012,Données définitives,France,Consommation totale,33269
01/09/2012,Données définitives,France,Solde exportateur,4054
01/09/2012,Données définitives,France,Echanges export,6036
01/09/2012,Données définitives,France,Echanges import,1981
01/09/2012,Données définitives,France,Echanges avec le Royaume-Uni,1011
01/09/2012,Données définitives,France,Echanges avec l'Espagne,72
01/09/2012,Données définitives,France,Echanges avec l'Italie,790
01/09/2012,Données définitives,France,Echanges avec la Suisse,1413
01/09/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,769
01/10/2012,Données définitives,France,Production totale,42987
01/10/2012,Données définitives,France,Production nucléaire,32848
01/10/2012,Données définitives,France,Production thermique totale,3518
01/10/2012,Données définitives,France,Production thermique charbon,2039
01/10/2012,Données définitives,France,Production thermique fioul,456
01/10/2012,Données définitives,France,Production thermique gaz,1022
01/10/2012,Données définitives,France,Production hydraulique,4534
01/10/2012,Données définitives,France,Production éolien,1355
01/10/2012,Données définitives,France,Production solaire,283
01/10/2012,Données définitives,France,Production bioénergies,450
01/10/2012,Données définitives,France,Consommation totale,38628
01/10/2012,Données définitives,France,Solde exportateur,3625
01/10/2012,Données définitives,France,Echanges export,6387
01/10/2012,Données définitives,France,Echanges import,2762
01/10/2012,Données définitives,France,Echanges avec le Royaume-Uni,183
01/10/2012,Données définitives,France,Echanges avec l'Espagne,-273
01/10/2012,Données définitives,France,Echanges avec l'Italie,1621
01/10/2012,Données définitives,France,Echanges avec la Suisse,1774
01/10/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,321
01/11/2012,Données définitives,France,Production totale,49228
01/11/2012,Données définitives,France,Production nucléaire,37119
01/11/2012,Données définitives,France,Production thermique totale,5189
01/11/2012,Données définitives,France,Production thermique charbon,1821
01/11/2012,Données définitives,France,Production thermique fioul,524
01/11/2012,Données définitives,France,Production thermique gaz,2845
01/11/2012,Données définitives,France,Production hydraulique,4914
01/11/2012,Données définitives,France,Production éolien,1309
01/11/2012,Données définitives,France,Production solaire,182
01/11/2012,Données définitives,France,Production bioénergies,514
01/11/2012,Données définitives,France,Consommation totale,44260
01/11/2012,Données définitives,France,Solde exportateur,4355
01/11/2012,Données définitives,France,Echanges export,6802
01/11/2012,Données définitives,France,Echanges import,2447
01/11/2012,Données définitives,France,Echanges avec le Royaume-Uni,597
01/11/2012,Données définitives,France,Echanges avec l'Espagne,-172
01/11/2012,Données définitives,France,Echanges avec l'Italie,1586
01/11/2012,Données définitives,France,Echanges avec la Suisse,1705
01/11/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,639
01/12/2012,Données définitives,France,Production totale,54715
01/12/2012,Données définitives,France,Production nucléaire,39912
01/12/2012,Données définitives,France,Production thermique totale,5319
01/12/2012,Données définitives,France,Production thermique charbon,1714
01/12/2012,Données définitives,France,Production thermique fioul,548
01/12/2012,Données définitives,France,Production thermique gaz,3057
01/12/2012,Données définitives,France,Production hydraulique,6521
01/12/2012,Données définitives,France,Production éolien,2290
01/12/2012,Données définitives,France,Production solaire,149
01/12/2012,Données définitives,France,Production bioénergies,525
01/12/2012,Données définitives,France,Consommation totale,49602
01/12/2012,Données définitives,France,Solde exportateur,4367
01/12/2012,Données définitives,France,Echanges export,6716
01/12/2012,Données définitives,France,Echanges import,2349
01/12/2012,Données définitives,France,Echanges avec le Royaume-Uni,529
01/12/2012,Données définitives,France,Echanges avec l'Espagne,-30
01/12/2012,Données définitives,France,Echanges avec l'Italie,1292
01/12/2012,Données définitives,France,Echanges avec la Suisse,1718
01/12/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,859
01/01/2013,Données définitives,Grand-Est,Production totale,9924
01/01/2013,Données définitives,Grand-Est,Production nucléaire,7258
01/01/2013,Données définitives,Grand-Est,Production thermique totale,1508
01/01/2013,Données définitives,Grand-Est,Production thermique charbon,928
01/01/2013,Données définitives,Grand-Est,Production thermique fioul,8
01/01/2013,Données définitives,Grand-Est,Production thermique gaz,570
01/01/2013,Données définitives,Grand-Est,Production hydraulique,814
01/01/2013,Données définitives,Grand-Est,Production éolien,278
01/01/2013,Données définitives,Grand-Est,Production solaire,7
01/01/2013,Données définitives,Grand-Est,Production bioénergies,57
01/01/2013,Données définitives,Grand-Est,Consommation totale,0
01/01/2013,Données définitives,Grand-Est,Solde exportateur,0
01/01/2013,Données définitives,Nouvelle-Aquitaine,Production totale,5644
01/01/2013,Données définitives,Nouvelle-Aquitaine,Production nucléaire,4801
01/01/2013,Données définitives,Nouvelle-Aquitaine,Production thermique totale,187
01/01/2013,Données définitives,Nouvelle-Aquitaine,Production thermique fioul,0
01/01/2013,Données définitives,Nouvelle-Aquitaine,Production thermique gaz,186
01/01/2013,Données définitives,Nouvelle-Aquitaine,Production hydraulique,465
01/01/2013,Données définitives,Nouvelle-Aquitaine,Production éolien,61
01/01/2013,Données définitives,Nouvelle-Aquitaine,Production solaire,23
01/01/2013,Données définitives,Nouvelle-Aquitaine,Production bioénergies,105
01/01/2013,Données définitives,Nouvelle-Aquitaine,Consommation totale,0
01/01/2013,Données définitives,Nouvelle-Aquitaine,Solde exportateur,0
01/01/2013,Données définitives,Auvergne-Rhône-Alpes,Production totale,13119
01/01/2013,Données définitives,Auvergne-Rhône-Alpes,Production nucléaire,9641
01/01/2013,Données définitives,Auvergne-Rhône-Alpes,Production thermique totale,278
01/01/2013,Données définitives,Auvergne-Rhône-Alpes,Production thermique charbon,0
01/01/2013,Données définitives,Auvergne-Rhône-Alpes,Production thermique fioul,49
01/01/2013,Données définitives,Auvergne-Rhône-Alpes,Production thermique gaz,227
01/01/2013,Données définitives,Auvergne-Rhône-Alpes,Production hydraulique,3047
01/01/2013,Données définitives,Auvergne-Rhône-Alpes,Production éolien,66
01/01/2013,Données définitives,Auvergne-Rhône-Alpes,Production solaire,14
01/01/2013,Données définitives,Auvergne-Rhône-Alpes,Production bioénergies,71
01/01/2013,Données définitives,Auvergne-Rhône-Alpes,Consommation totale,0
01/01/2013,Données définitives,Auvergne-Rhône-Alpes,Solde exportateur,0
01/01/2013,Données définitives,Bourgogne-Franche-Comté,Production totale,403
01/01/2013,Données définitives,Bourgogne-Franche-Comté,Production thermique totale,244
01/01/2013,Données définitives,Bourgogne-Franche-Comté,Production thermique charbon,75
01/01/2013,Données définitives,Bourgogne-Franche-Comté,Production thermique fioul,0
01/01/2013,Données définitives,Bourgogne-Franche-Comté,Production thermique gaz,168
01/01/2013,Données définitives,Bourgogne-Franche-Comté,Production hydraulique,121
01/01/2013,Données définitives,Bourgogne-Franche-Comté,Production éolien,21
01/01/2013,Données définitives,Bourgogne-Franche-Comté,Production solaire,2
01/01/2013,Données définitives,Bourgogne-Franche-Comté,Production bioénergies,13
01/01/2013,Données définitives,Bourgogne-Franche-Comté,Consommation totale,0
01/01/2013,Données définitives,Bourgogne-Franche-Comté,Solde exportateur,0
01/01/2013,Données définitives,Bretagne,Production totale,246
01/01/2013,Données définitives,Bretagne,Production thermique totale,49
01/01/2013,Données définitives,Bretagne,Production thermique fioul,1
01/01/2013,Données définitives,Bretagne,Production thermique gaz,48
01/01/2013,Données définitives,Bretagne,Production hydraulique,56
01/01/2013,Données définitives,Bretagne,Production éolien,118
01/01/2013,Données définitives,Bretagne,Production solaire,3
01/01/2013,Données définitives,Bretagne,Production bioénergies,18
01/01/2013,Données définitives,Bretagne,Consommation totale,0
01/01/2013,Données définitives,Bretagne,Solde exportateur,0
01/01/2013,Données définitives,Centre-Val de Loire,Production totale,7965
01/01/2013,Données définitives,Centre-Val de Loire,Production nucléaire,7717
01/01/2013,Données définitives,Centre-Val de Loire,Production thermique totale,70
01/01/2013,Données définitives,Centre-Val de Loire,Production thermique fioul,2
01/01/2013,Données définitives,Centre-Val de Loire,Production thermique gaz,67
01/01/2013,Données définitives,Centre-Val de Loire,Production hydraulique,24
01/01/2013,Données définitives,Centre-Val de Loire,Production éolien,122
01/01/2013,Données définitives,Centre-Val de Loire,Production solaire,3
01/01/2013,Données définitives,Centre-Val de Loire,Production bioénergies,27
01/01/2013,Données définitives,Centre-Val de Loire,Consommation totale,0
01/01/2013,Données définitives,France,Production totale,57739
01/01/2013,Données définitives,France,Production nucléaire,42406
01/01/2013,Données définitives,France,Production thermique totale,6301
01/01/2013,Données définitives,France,Production thermique charbon,2566
01/01/2013,Données définitives,France,Production thermique fioul,393
01/01/2013,Données définitives,France,Production thermique gaz,3342
01/01/2013,Données définitives,France,Production hydraulique,6906
01/01/2013,Données définitives,France,Production éolien,1326
01/01/2013,Données définitives,France,Production solaire,146
01/01/2013,Données définitives,France,Production bioénergies,654
01/01/2013,Données définitives,France,Consommation totale,53619
01/01/2013,Données définitives,France,Solde exportateur,3484
01/01/2013,Données définitives,France,Echanges export,6604
01/01/2013,Données définitives,France,Echanges import,3120
01/01/2013,Données définitives,France,Echanges avec le Royaume-Uni,493
01/01/2013,Données définitives,France,Echanges avec l'Espagne,91
01/01/2013,Données définitives,France,Echanges avec l'Italie,1499
01/01/2013,Données définitives,France,Echanges avec la Suisse,1666
01/01/2013,Données définitives,France,Echanges avec l'Allemagne et la Belgique,-265
01/01/2013,Données définitives,Ile-de-France,Production totale,870
01/01/2013,Données définitives,Ile-de-France,Production thermique totale,753
01/01/2013,Données définitives,Ile-de-France,Production thermique charbon,195
01/01/2013,Données définitives,Ile-de-France,Production thermique fioul,37
01/01/2013,Données définitives,Ile-de-France,Production thermique gaz,520
01/01/2013,Données définitives,Ile-de-France,Production hydraulique,0
01/01/2013,Données définitives,Ile-de-France,Production éolien,3
01/01/2013,Données définitives,Ile-de-France,Production solaire,0
01/01/2013,Données définitives,Ile-de-France,Production bioénergies,112
01/01/2013,Données définitives,Ile-de-France,Consommation totale,0
01/01/2013,Données définitives,Occitanie,Production totale,3450
01/01/2013,Données définitives,Occitanie,Production nucléaire,1853
01/01/2013,Données définitives,Occitanie,Production thermique totale,76
01/01/2013,Données définitives,Occitanie,Production thermique fioul,10
01/01/2013,Données définitives,Occitanie,Production thermique gaz,65
01/01/2013,Données définitives,Occitanie,Production hydraulique,1214
01/01/2013,Données définitives,Occitanie,Production éolien,208
01/01/2013,Données définitives,Occitanie,Production solaire,34
01/01/2013,Données définitives,Occitanie,Production bioénergies,63
01/01/2013,Données définitives,Occitanie,Consommation totale,0
01/01/2013,Données définitives,Normandie,Production totale,8304
01/01/2013,Données définitives,Normandie,Production nucléaire,7473
01/01/2013,Données définitives,Normandie,Production thermique totale,677
01/01/2013,Données définitives,Normandie,Production thermique charbon,392
01/01/2013,Données définitives,Normandie,Production thermique fioul,47
01/01/2013,Données définitives,Normandie,Production thermique gaz,238
01/01/2013,Données définitives,Normandie,Production hydraulique,15
01/01/2013,Données définitives,Normandie,Production éolien,87
01/01/2013,Données définitives,Normandie,Production solaire,1
01/01/2013,Données définitives,Normandie,Production bioénergies,48
01/01/2013,Données définitives,Normandie,Consommation totale,0
01/01/2013,Données définitives,Hauts-de-France,Production totale,4786
01/01/2013,Données définitives,Hauts-de-France,Production nucléaire,3660
01/01/2013,Données définitives,Hauts-de-France,Production thermique totale,797
01/01/2013,Données définitives,Hauts-de-France,Production thermique charbon,118
01/01/2013,Données définitives,Hauts-de-France,Production thermique fioul,0
01/01/2013,Données définitives,Hauts-de-France,Production thermique gaz,678
01/01/2013,Données définitives,Hauts-de-France,Production hydraulique,1
01/01/2013,Données définitives,Hauts-de-France,Production éolien,267
01/01/2013,Données définitives,Hauts-de-France,Production solaire,1
01/01/2013,Données définitives,Hauts-de-France,Production bioénergies,57
01/01/2013,Données définitives,Hauts-de-France,Consommation totale,0
01/01/2013,Données définitives,PACA,Production totale,1941
01/01/2013,Données définitives,PACA,Production thermique totale,759
01/01/2013,Données définitives,PACA,Production thermique charbon,254
01/01/2013,Données définitives,PACA,Production thermique fioul,128
01/01/2013,Données définitives,PACA,Production thermique gaz,376
01/01/2013,Données définitives,PACA,Production hydraulique,1079
01/01/2013,Données définitives,PACA,Production éolien,12
01/01/2013,Données définitives,PACA,Production solaire,38
01/01/2013,Données définitives,PACA,Production bioénergies,52
01/01/2013,Données définitives,PACA,Consommation totale,0
01/01/2013,Données définitives,Pays-de-la-Loire,Production totale,933
01/01/2013,Données définitives,Pays-de-la-Loire,Production thermique totale,817
01/01/2013,Données définitives,Pays-de-la-Loire,Production thermique charbon,600
01/01/2013,Données définitives,Pays-de-la-Loire,Production thermique fioul,22
01/01/2013,Données définitives,Pays-de-la-Loire,Production thermique gaz,193
01/01/2013,Données définitives,Pays-de-la-Loire,Production hydraulique,1
01/01/2013,Données définitives,Pays-de-la-Loire,Production éolien,75
01/01/2013,Données définitives,Pays-de-la-Loire,Production solaire,7
01/01/2013,Données définitives,Pays-de-la-Loire,Production bioénergies,30
01/01/2013,Données définitives,Pays-de-la-Loire,Consommation totale,0
01/02/2013,Données définitives,Grand-Est,Production totale,9057
01/02/2013,Données définitives,Grand-Est,Production nucléaire,6086
01/02/2013,Données définitives,Grand-Est,Production thermique totale,1863
01/02/2013,Données définitives,Grand-Est,Production thermique charbon,1087
01/02/2013,Données définitives,Grand-Est,Production thermique fioul,8
01/02/2013,Données définitives,Grand-Est,Production thermique gaz,768
01/02/2013,Données définitives,Grand-Est,Production hydraulique,708
01/02/2013,Données définitives,Grand-Est,Production éolien,332
01/02/2013,Données définitives,Grand-Est,Production solaire,14
01/02/2013,Données définitives,Grand-Est,Production bioénergies,52
01/02/2013,Données définitives,Grand-Est,Consommation totale,0
01/02/2013,Données définitives,Grand-Est,Solde exportateur,0
01/02/2013,Données définitives,Nouvelle-Aquitaine,Production totale,5313
01/02/2013,Données définitives,Nouvelle-Aquitaine,Production nucléaire,4374
01/02/2013,Données définitives,Nouvelle-Aquitaine,Production thermique totale,158
01/02/2013,Données définitives,Nouvelle-Aquitaine,Production thermique fioul,6
01/02/2013,Données définitives,Nouvelle-Aquitaine,Production thermique gaz,152
01/02/2013,Données définitives,Nouvelle-Aquitaine,Production hydraulique,570
01/02/2013,Données définitives,Nouvelle-Aquitaine,Production éolien,70
01/02/2013,Données définitives,Nouvelle-Aquitaine,Production solaire,42
01/02/2013,Données définitives,Nouvelle-Aquitaine,Production bioénergies,96
01/02/2013,Données définitives,Nouvelle-Aquitaine,Consommation totale,0
01/02/2013,Données définitives,Nouvelle-Aquitaine,Solde exportateur,0
01/02/2013,Données définitives,Auvergne-Rhône-Alpes,Production totale,11499
01/02/2013,Données définitives,Auvergne-Rhône-Alpes,Production nucléaire,8309
01/02/2013,Données définitives,Auvergne-Rhône-Alpes,Production thermique totale,233
01/02/2013,Données définitives,Auvergne-Rhône-Alpes,Production thermique charbon,0
01/02/2013,Données définitives,Auvergne-Rhône-Alpes,Production thermique fioul,56
01/02/2013,Données définitives,Auvergne-Rhône-Alpes,Production thermique gaz,175
01/02/2013,Données définitives,Auvergne-Rhône-Alpes,Production hydraulique,2808
01/02/2013,Données définitives,Auvergne-Rhône-Alpes,Production éolien,66
01/02/2013,Données définitives,Auvergne-Rhône-Alpes,Production solaire,21
01/02/2013,Données définitives,Auvergne-Rhône-Alpes,Production bioénergies,60
01/02/2013,Données définitives,Auvergne-Rhône-Alpes,Consommation totale,0
01/02/2013,Données définitives,Auvergne-Rhône-Alpes,Solde exportateur,0
01/02/2013,Données définitives,Bourgogne-Franche-Comté,Production totale,378
01/02/2013,Données définitives,Bourgogne-Franche-Comté,Production thermique totale,210
01/02/2013,Données définitives,Bourgogne-Franche-Comté,Production thermique charbon,91
01/02/2013,Données définitives,Bourgogne-Franche-Comté,Production thermique fioul,0
01/02/2013,Données définitives,Bourgogne-Franche-Comté,Production thermique gaz,118
01/02/2013,Données définitives,Bourgogne-Franche-Comté,Production hydraulique,124
01/02/2013,Données définitives,Bourgogne-Franche-Comté,Production éolien,25
01/02/2013,Données définitives,Bourgogne-Franche-Comté,Production solaire,5
01/02/2013,Données définitives,Bourgogne-Franche-Comté,Production bioénergies,12
01/02/2013,Données définitives,Bourgogne-Franche-Comté,Consommation totale,0
01/02/2013,Données définitives,Bourgogne-Franche-Comté,Solde exportateur,0
01/02/2013,Données définitives,Bretagne,Production totale,241
01/02/2013,Données définitives,Bretagne,Production thermique totale,45
01/02/2013,Données définitives,Bretagne,Production thermique fioul,1
01/02/2013,Données définitives,Bretagne,Production thermique gaz,43
01/02/2013,Données définitives,Bretagne,Production hydraulique,47
01/02/2013,Données définitives,Bretagne,Production éolien,122
01/02/2013,Données définitives,Bretagne,Production solaire,7
01/02/2013,Données définitives,Bretagne,Production bioénergies,18
01/02/2013,Données définitives,Bretagne,Consommation totale,0
01/02/2013,Données définitives,Bretagne,Solde exportateur,0
01/02/2013,Données définitives,Centre-Val de Loire,Production totale,7261
01/02/2013,Données définitives,Centre-Val de Loire,Production nucléaire,6992
01/02/2013,Données définitives,Centre-Val de Loire,Production thermique totale,57
01/02/2013,Données définitives,Centre-Val de Loire,Production thermique fioul,2
01/02/2013,Données définitives,Centre-Val de Loire,Production thermique gaz,54
01/02/2013,Données définitives,Centre-Val de Loire,Production hydraulique,27
01/02/2013,Données définitives,Centre-Val de Loire,Production éolien,150
01/02/2013,Données définitives,Centre-Val de Loire,Production solaire,7
01/02/2013,Données définitives,Centre-Val de Loire,Production bioénergies,26
01/02/2013,Données définitives,Centre-Val de Loire,Consommation totale,0
01/02/2013,Données définitives,France,Production totale,52257
01/02/2013,Données définitives,France,Production nucléaire,36754
01/02/2013,Données définitives,France,Production thermique totale,6357
01/02/2013,Données définitives,France,Production thermique charbon,2667
01/02/2013,Données définitives,France,Production thermique fioul,397
01/02/2013,Données définitives,France,Production thermique gaz,3293
01/02/2013,Données définitives,France,Production hydraulique,6858
01/02/2013,Données définitives,France,Production éolien,1463
01/02/2013,Données définitives,France,Production solaire,230
01/02/2013,Données définitives,France,Production bioénergies,595
01/02/2013,Données définitives,France,Consommation totale,49639
01/02/2013,Données définitives,France,Solde exportateur,2132
01/02/2013,Données définitives,France,Echanges export,5850
01/02/2013,Données définitives,France,Echanges import,3718
01/02/2013,Données définitives,France,Echanges avec le Royaume-Uni,465
01/02/2013,Données définitives,France,Echanges avec l'Espagne,-306
01/02/2013,Données définitives,France,Echanges avec l'Italie,1545
01/02/2013,Données définitives,France,Echanges avec la Suisse,1563
01/02/2013,Données définitives,France,Echanges avec l'Allemagne et la Belgique,-1135
01/02/2013,Données définitives,Ile-de-France,Production totale,779
01/02/2013,Données définitives,Ile-de-France,Production thermique totale,668
01/02/2013,Données définitives,Ile-de-France,Production thermique charbon,141
01/02/2013,Données définitives,Ile-de-France,Production thermique fioul,41
01/02/2013,Données définitives,Ile-de-France,Production thermique gaz,484
01/02/2013,Données définitives,Ile-de-France,Production hydraulique,0
01/02/2013,Données définitives,Ile-de-France,Production éolien,3
01/02/2013,Données définitives,Ile-de-France,Production solaire,2
01/02/2013,Données définitives,Ile-de-France,Production bioénergies,105
01/02/2013,Données définitives,Ile-de-France,Consommation totale,0
01/02/2013,Données définitives,Occitanie,Production totale,3491
01/02/2013,Données définitives,Occitanie,Production nucléaire,1712
01/02/2013,Données définitives,Occitanie,Production thermique totale,55
01/02/2013,Données définitives,Occitanie,Production thermique fioul,-4
